ra,dec,koi_prad,koi_depth,koi_period,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,mission
350.9170464,-1.1891827,1.64829,0.0507,0.2803246,2211.0,4477.0,4.56,0.72,,k2
169.4490102,3.8665038,1.55,0.0365,1.4226108,,4886.0,,0.74,,k2
130.2596625,14.6902225,2.39,,52.713494,477.0,5788.0,4.48,0.94,0.96,k2
243.6800912,-19.3468837,1.84,0.0576,15.937378,,4574.0,,0.7,,k2
205.4445125,-10.8625468,1.26,,15.28078,756.0,6004.0,4.45,0.98,0.99,k2
333.9249669,-16.5636911,5.02277659,,2.475641,,5257.0,4.49,0.824753,,k2
65.623286,17.0378768,16.22,,0.567055,,7020.0,4.0,1.42,,k2
14.2523556,9.3860363,3.9,0.0661,6.73511,,,,1.167,,k2
128.8572472,12.075397,1.5,,1.610911,,,,0.56,,k2
133.7094899,11.8482712,1.85,0.0531,4.52905,,,,0.773,,k2
136.3614923,21.6685886,1.6,0.067,3.355854,,3860.0,4.72,0.551,,k2
174.9602543,0.603596,1.14,,2.50856,,5430.0,4.63,0.86,0.93,k2
207.6554928,-6.8040714,,,1.33711644,,4645.0,,,,k2
172.3353708,-1.4551364,2.08,,10.054544,,,,0.561,,k2
16.4625203,11.7537171,2.53826377,0.04071051,15.3886606556,779.17,6101.0,4.44514,1.0623,,k2
338.844896,-7.469895,2.31,0.044,18.283257,,5800.0,,1.01,,k2
351.7717763,-1.2853435,1.529,,1.2089765,1055.0,4294.0,4.682,0.579,0.593,k2
356.2260152,-7.7015151,1.371,,4.622654,,5543.0,4.973,0.566,0.757,k2
243.6800912,-19.3468837,2.359,,15.937039,,5601.0,4.406,0.94,0.825,k2
355.702386,-9.5887124,4.28877,0.1815,3.3129214,1119.0,5512.0,4.44,0.98,,k2
240.0333095,-23.1894196,2.18,,10.56104,862.0,5679.0,4.32,0.924,1.04,k2
207.6554928,-6.8040714,14.056086,,1.33711647,,4645.0,,0.776,0.743,k2
174.9602543,0.603596,4.21,,11.90701,,5230.0,4.52,0.88,0.89,k2
206.6522408,-11.8049588,,0.053,7.80651068,,5739.0,4.41706,1.03974,1.03,k2
8.7401487,4.3807215,,,,,,,,,k2
140.3390845,14.3678691,1.613,,0.719573,,,4.34,1.22,1.18,k2
53.2390995,22.1158827,1.5097,,20.5949,,5969.0,4.386,1.059,0.994,k2
161.7349738,1.9367044,2.274,,6.393025,,5946.0,4.227,1.239,0.945,k2
240.0333095,-23.1894196,2.29,,10.56103,916.0,5731.0,4.38,1.06,1.03,k2
202.897887,-12.0951142,1.82,0.0754,12.83306,,,,0.649,,k2
207.6554928,-6.8040714,11.85,3.3335,1.33711569,,,,0.6629,,k2
169.4490102,3.8665038,1.43,,1.422614,1328.0,4916.0,,0.718,0.79,k2
55.2559307,13.5191871,4.15,,10.995039,1033.0,5897.0,4.26,1.269,1.06,k2
124.3609294,17.0241557,1.03,,3.850614,783.0,4558.0,4.65,0.63,0.66,k2
79.9516586,21.2591617,2.417,,3.572326,,5387.0,4.435,0.966,0.937,k2
16.4625203,11.7537171,2.41,,15.3863,801.0,5961.0,4.33,1.093,0.92,k2
164.1893864,9.6739464,5.333,,33.589979,,5511.0,4.439,0.886,0.784,k2
172.3353708,-1.4551364,1.61,,44.55765,300.0,,,0.561,,k2
130.8783479,24.4229559,3.26,,4.688418,908.0,5077.0,4.5,0.85,0.83,k2
353.9543517,0.4447043,2.53,,9.0949,745.0,5089.0,,0.716,0.755,k2
125.9864854,22.663226,2.99459349,0.12027717,26.19445485478,439.45,4678.0,4.60838,0.709927,,k2
133.8382032,16.7940663,1.3172461,,21.191788,,5277.0,4.54,0.782112,,k2
134.2021746,21.5026882,1.65,,2.787174,653.0,3804.0,4.8,0.46,0.49,k2
207.6554928,-6.8040714,14.056,,1.33711647,1344.0,4645.0,4.53,0.776,0.743,k2
127.761137,16.9004702,2.77,0.0418,16.2713,,,,1.27,,k2
351.7717763,-1.2853435,1.58,,1.208966,1114.0,4219.0,4.657,0.622,0.637,k2
133.8382032,16.7940663,1.33,0.0263,21.1976,,,,0.7747,,k2
132.7376431,13.170269,2.72,,22.996591,673.0,5994.0,4.43,1.06,1.1,k2
188.3864277,-10.1462141,,,1088.0,,4425.0,4.633,0.67,,k2
126.3726821,23.2974061,,0.1195,7.187,,4391.0,4.69431,0.617099,0.687,k2
204.9970365,-16.0828568,64.215,,2.500285,,6051.0,3.934,2.481,1.936,k2
183.7514959,-5.7820178,1.0,,0.365261,,5456.0,4.5,0.88,,k2
206.6522408,-11.8049588,,0.0477,7.806,,5739.0,4.41706,1.03974,1.03,k2
240.0333095,-23.1894196,2.49,,10.56103,949.0,5705.0,,1.141,1.054,k2
